,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,RightWrongWay,SeriousWork,ChallengeMyself,ChangeWorld,DifficultCommunication
ProblemSolving,1.0,0.40075559346988593,0.36505618691255254,-0.08897120165804741,0.08015006556845446,-0.00834076662791067,0.24085538951198113,0.4043049069776084,0.17971636078918052,-0.1330890715723377
BuildingThings,0.40075559346988593,1.0,0.3415860316152262,-0.10465032167254336,0.10772470743677397,-0.015055704198285308,0.22399613174319605,0.29010726335039994,0.1774159630611896,-0.12398874555156349
LearningNewTech,0.36505618691255254,0.3415860316152262,1.0,-0.03687739857812317,0.05974005541195578,0.0741108731094884,0.227699665192994,0.3789998834031425,0.1975771376175658,-0.08532100853493509
BoringDetails,-0.08897120165804741,-0.10465032167254336,-0.03687739857812317,1.0,0.017515192851950974,0.055142018964838675,-0.14109338357477802,-0.058088692643883014,0.018074113454301245,0.1640881730712045
JobSecurity,0.08015006556845446,0.10772470743677397,0.05974005541195578,0.017515192851950974,1.0,0.059833458695949644,0.10836324043840398,0.00483737002933009,-0.022703584985228203,0.0342743159434096
RightWrongWay,-0.00834076662791067,-0.015055704198285308,0.0741108731094884,0.055142018964838675,0.059833458695949644,1.0,0.13541359654598478,0.04420477365878561,0.07102373870455599,0.07223078631471029
SeriousWork,0.24085538951198113,0.22399613174319605,0.227699665192994,-0.14109338357477802,0.10836324043840398,0.13541359654598478,1.0,0.29284050669551065,0.175483471562497,-0.1150062102969154
ChallengeMyself,0.4043049069776084,0.29010726335039994,0.3789998834031425,-0.058088692643883014,0.00483737002933009,0.04420477365878561,0.29284050669551065,1.0,0.2864882758657523,-0.1404625715292498
ChangeWorld,0.17971636078918052,0.1774159630611896,0.1975771376175658,0.018074113454301245,-0.022703584985228203,0.07102373870455599,0.175483471562497,0.2864882758657523,1.0,-0.011776019721851626
DifficultCommunication,-0.1330890715723377,-0.12398874555156349,-0.08532100853493509,0.1640881730712045,0.0342743159434096,0.07223078631471029,-0.1150062102969154,-0.1404625715292498,-0.011776019721851626,1.0
