Country,country_json
United States,United States of America
United Kingdom,United Kingdom
Switzerland,Switzerland
New Zealand,New Zealand
Poland,Poland
Colombia,Colombia
France,France
Canada,Canada
Germany,Germany
Greece,Greece
Brazil,Brazil
Israel,Israel
Italy,Italy
Belgium,Belgium
India,India
Chile,Chile
Croatia,Croatia
Argentina,Argentina
Netherlands,Netherlands
Denmark,Denmark
Ukraine,Ukraine
Sri Lanka,Sri Lanka
Malaysia,Malaysia
Finland,Finland
Turkey,Turkey
Spain,Spain
Austria,Austria
Mexico,Mexico
Russian Federation,Russia
Bulgaria,Bulgaria
Uruguay,Uruguay
Estonia,Estonia
Iran,Iran
Bangladesh,Bangladesh
Sweden,Sweden
Lithuania,Lithuania
Paraguay,Paraguay
Romania,Romania
Costa Rica,Costa Rica
Serbia,Republic of Serbia
Slovenia,Slovenia
United Arab Emirates,United Arab Emirates
Tunisia,Tunisia
Kenya,Kenya
El Salvador,El Salvador
Norway,Norway
Dominican Republic,Dominican Republic
Belarus,Belarus
Portugal,Portugal
Czech Republic,Czech Republic
Albania,Albania
I prefer not to say,Not to say
South Africa,South Africa
Uzbekistan,Uzbekistan
Moldavia,
Ireland,Ireland
Nepal,Nepal
Pakistan,Pakistan
Slovak Republic,Slovakia
Hungary,Hungary
Egypt,Egypt
Australia,Australia
Japan,Japan
South Korea,South Korea
Rwanda,Rwanda
Luxembourg,Luxembourg
Kazakhstan,Kazakhstan
Bolivia,Bolivia
Vietnam,Vietnam
Somalia,Somalia
Saudi Arabia,Saudi Arabia
Ethiopia,Ethiopia
Macedonia,Macedonia
Bosnia-Herzegovina,Bosnia and Herzegovina
Algeria,Algeria
Nicaragua,Nicaragua
Cuba,Cuba
Indonesia,Indonesia
Netherlands Antilles,Netherlands
Jamaica,Jamaica
Nigeria,Nigeria
Ecuador,Ecuador
Peru,Peru
Malta,
Uganda,Uganda
Morocco,Morocco
Guatemala,Guatemala
Jordan,Jordan
Cyprus,Cyprus
Georgia,Georgia
Armenia,Armenia
Virgin Islands (USA),
Lebanon,Lebanon
China,China
Bermuda,
Latvia,Latvia
Singapore,Singapore
Thailand,Thailand
American Samoa,
Puerto Rico,Puerto Rico
Philippines,Philippines
Hong Kong,China
Taiwan,Taiwan
Cape Verde,
Trinidad and Tobago,Trinidad and Tobago
Mongolia,Mongolia
Myanmar,Myanmar
North Korea,North Korea
Afghanistan,Afghanistan
Cambodia,Cambodia
Liechtenstein,Austria
Botswana,Botswana
Madagascar,Madagascar
Mauritius,
Iraq,Iraq
Ghana,Ghana
Aland Islands,
Zambia,Zambia
Iceland,Iceland
Zimbabwe,Zimbabwe
Azerbaidjan,Azerbaijan
Kuwait,Kuwait
Venezuela,Venezuela
S. Georgia & S. Sandwich Isls.,
Panama,Panama
Andorra,France
Cayman Islands,
Bahamas,The Bahamas
Honduras,Honduras
Sudan,Sudan
Syria,Syria
Gibraltar,Spain
Virgin Islands (British),
Cameroon,Cameroon
Tanzania,United Republic of Tanzania
Mozambique,Mozambique
Qatar,Qatar
Libya,Libya
Reunion (French),
Vatican City State,Italy
Oman,Oman
Angola,Angola
Montenegro,Montenegro
Haiti,Haiti
New Caledonia (French),New Caledonia
Bahrain,
Bouvet Island,
Togo,Togo
Namibia,Namibia
Guyana,Guyana
Lesotho,Lesotho
Antarctica,Antarctica
Burkina Faso,Burkina Faso
Anguilla,
Fiji,Fiji
Bhutan,Bhutan
Malawi,Malawi
Laos,Laos
Gabon,Gabon
Senegal,Senegal
Kyrgyzstan,Kyrgyzstan
Tadjikistan,Tajikistan
Brunei Darussalam,Brunei
Zaire,Democratic Republic of the Congo
Ivory Coast (Cote D'Ivoire),Ivory Coast
Saint Lucia,
Monaco,France
U.S. Minor Outlying Islands,
Polynesia (French),
French Guyana,France
Pitcairn Island,
Seychelles,
Guinea,Guinea
Aruba,
Belize,Belize
Benin,Benin
Swaziland,Swaziland
Barbados,
Eritrea,Eritrea
Niger,Niger
Suriname,Suriname
Guam,
Antigua and Barbuda,
Djibouti,Djibouti
Mali,Mali
British Indian Ocean Territory,
Northern Mariana Islands,
Saint Vincent & Grenadines,
Martinique (French),
Burundi,Burundi
Cook Islands,
Yemen,Yemen
Turkmenistan,Turkmenistan
Macau,China
Chad,Chad
Falkland Islands,Falkland Islands
Montserrat,Spain
Christmas Island,
Heard and McDonald Islands,
Comoros,
Saint Helena,
